Date,Open,High,Low,Close,Adj Close,Volume
24/9/12,650,652.474976,643.786987,650.036987,493.629608,4427016
25/9/12,647.5,652.75,647.013,649.513,493.231628,4424876
26/9/12,644.5,650,641.786987,647.325012,491.57019,4244952
27/9/12,648.125,648.25,633.687988,637.338013,483.986115,6911440
28/9/12,640.25,644.974976,631.549988,633.737,481.251648,4842612
1/10/12,637.825012,655.049988,637.25,652.411987,495.433075,4413144
3/10/12,652.411987,654.786987,640.125,644.562012,489.472015,3911812
4/10/12,643.775024,648.724976,639.263,643.911987,488.978363,3582140
5/10/12,646.25,646.25,515.138,631.713013,479.714661,5816000
8/10/12,631.200012,635.724976,615,622.049988,472.376587,4038720
9/10/12,626.25,637.5,621,634.062012,481.498352,4542160
10/10/12,626.775024,632.036987,622.400024,626.036987,475.404297,2966052
11/10/12,624,645.013,620.299988,633.299988,480.919678,7483200
12/10/12,587.5,611.963013,577.75,598.838013,454.749756,28350888
15/10/12,596.424988,603,588.200012,591.400024,449.101471,7395060
16/10/12,594.974976,597.25,586.75,588.924988,447.221924,3641024
17/10/12,594.013,594.75,589.312012,592.536987,449.964874,2853660
18/10/12,591,599.25,586.275024,594.400024,463.102966,5096288
19/10/12,591.5,599.25,591.5,595.838013,464.223389,5468600
22/10/12,592.062012,599.5,592.062012,596.388,464.651855,2283432
23/10/12,590.5,596,587.5,588.275024,458.331024,2371572
25/10/12,588.275024,589.275024,582.536987,586.187988,456.704926,5628388
29/10/12,583.674988,586.200012,576.825012,583.875,454.902832,4078476
30/10/12,581.5,591.25,581.5,589.588013,459.353912,2864128
31/10/12,587.5,593.625,586.388,590.75,460.259247,3258660
1/11/12,590.5,592.5,585.275024,591.161987,460.580231,3505488
2/11/12,592.75,601.150024,592.275024,597.025024,465.148193,3524608
5/11/12,595.775024,597.650024,591.875,594.612,463.268188,2479600
6/11/12,596,601.625,592.812012,595.411987,463.891418,3407884
7/11/12,595.5,603.5,593.763,601.099976,468.323029,2347632
8/11/12,593,596.138,591.25,593.825012,462.65506,2614580
