Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Adj Close
2000-01-03,RELIANCE,EQ,233.05,237.5,251.7,237.5,251.7,251.7,249.37,4456424,1.11131914445e+14,,,,16.448257
2000-01-04,RELIANCE,EQ,251.7,258.4,271.85,251.3,271.85,271.85,263.52,9487878,2.5002219069e+14,,,,17.765039
2000-01-05,RELIANCE,EQ,271.85,256.65,287.9,256.65,286.75,282.5,274.79,26833684,7.3736972757e+14,,,,18.461018
2000-01-06,RELIANCE,EQ,282.5,289.0,300.7,289.0,293.5,294.35,295.45,15682286,4.6332540409e+14,,,,19.235373
2000-01-07,RELIANCE,EQ,294.35,295.0,317.9,293.0,314.5,314.55,308.91,19870977,6.1383876574e+14,,,,20.555416
2000-01-10,RELIANCE,EQ,314.55,317.4,318.7,305.3,306.65,308.5,312.35,13417057,4.19085494795e+14,,,,20.160082
2000-01-11,RELIANCE,EQ,308.5,307.95,310.95,283.85,288.5,288.5,296.4,12544322,3.7181920709e+14,,,,18.853092
2000-01-12,RELIANCE,EQ,288.5,289.0,305.0,282.15,304.7,301.7,294.57,12109507,3.5670811391e+14,,,,19.715717
2000-01-13,RELIANCE,EQ,301.7,306.0,316.4,304.1,309.75,311.85,311.79,17076042,5.32418081645e+14,,,,20.378981
2000-01-14,RELIANCE,EQ,311.85,309.5,321.65,309.5,317.0,316.3,316.17,13460592,4.2558785202e+14,,,,20.669798
2000-01-17,RELIANCE,EQ,316.3,318.25,322.9,307.05,307.5,308.75,315.77,10729180,3.3879843254e+14,,,,20.176401
2000-01-18,RELIANCE,EQ,308.75,309.0,318.95,305.55,318.25,314.2,312.14,10083321,3.14736518215e+14,,,,20.53257
2000-01-19,RELIANCE,EQ,314.2,322.85,324.9,316.2,318.8,319.6,321.17,11481392,3.68749027475e+14,,,,20.885437
2000-01-20,RELIANCE,EQ,319.6,320.0,324.9,310.55,311.5,312.85,318.95,15428711,4.9209485876e+14,,,,20.444334
2000-01-21,RELIANCE,EQ,312.85,312.7,328.4,312.0,327.5,326.35,322.05,17137072,5.5190481527e+14,,,,21.32654
2000-01-24,RELIANCE,EQ,326.35,325.5,331.85,322.0,326.5,326.15,327.87,13163301,4.31588146595e+14,,,,21.313484
2000-01-25,RELIANCE,EQ,326.15,325.05,325.3,318.25,321.05,319.95,321.77,9752949,3.1382175421e+14,,,,20.908319
2000-01-27,RELIANCE,EQ,319.95,329.0,336.8,322.7,334.5,334.95,331.67,15014556,4.97986348055e+14,,,,21.888557
2000-01-28,RELIANCE,EQ,334.95,335.9,341.9,331.6,337.25,338.35,337.97,11734252,3.9658178492e+14,,,,22.110716
2000-01-31,RELIANCE,EQ,338.35,334.45,336.0,326.55,327.05,328.15,331.46,10191331,3.3780082387e+14,,,,21.444191
2000-02-01,RELIANCE,EQ,328.15,330.8,337.45,328.0,336.05,334.05,334.35,10707804,3.58013722035e+14,,,,21.829733
2000-02-02,RELIANCE,EQ,334.05,342.9,346.9,338.55,339.1,340.15,343.07,9950848,3.41388434825e+14,,,,22.228374
2000-02-03,RELIANCE,EQ,340.15,342.0,343.5,336.4,342.5,341.65,340.17,6771527,2.303446781e+14,,,,22.326397
2000-02-04,RELIANCE,EQ,341.65,344.0,347.35,341.7,342.75,344.15,344.87,7106910,2.4509311785e+14,,,,22.489738
2000-02-07,RELIANCE,EQ,344.15,341.1,349.45,338.05,343.0,343.6,345.9,8193641,2.8341541459e+14,,,,22.453796
2000-02-08,RELIANCE,EQ,343.6,345.5,346.9,341.05,342.1,342.4,344.0,6430661,2.21214659235e+14,,,,22.375387
